election_name,method,n_cands,sigma_UM_worst_case_asin,sigma_UM_average_asin,sigma_UM_worst_case_odds,sigma_UM_average_odds,sigma_UM_winner_set_worst_case_asin,sigma_UM_winner_set_average_asin,sigma_UM_winner_set_worst_case_odds,sigma_UM_winner_set_average_odds,sigma_IIA_worst_case,sigma_IIA_average,sigma_IIA_all_subset_worst_case,sigma_IIA_all_subset_average,sigma_IIA_winner_set_worst_case,sigma_IIA_winner_set_average
eilean_siar_2012_ward8,plurality,5,0.8807367617074643,0.9719056642574386,0.9329517579721994,0.9858968683989126,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8645833333333334,1.0,1.0
eilean_siar_2012_ward8,stv,5,0.8807367617074643,0.9719056642574386,0.9329517579721994,0.9858968683989126,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8645833333333334,1.0,1.0
eilean_siar_2012_ward8,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
highland_2022_wester_ross_strathpeffer_and_lochalsh,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.9,0.0,0.8802083333333334,1.0,1.0
highland_2022_wester_ross_strathpeffer_and_lochalsh,3-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.8666666666666667,0.0,0.8541666666666667,1.0,1.0
highland_2022_wester_ross_strathpeffer_and_lochalsh,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9166666666666666,1.0,1.0
highland_2022_wester_ross_strathpeffer_and_lochalsh,plurality,5,0.6858620793615662,0.9685862079361567,0.6335094339622641,0.9633509433962264,0.6858620793615662,0.9214655198403916,0.6335094339622641,0.908377358490566,0.5,0.7666666666666667,0.0,0.8177083333333334,1.0,0.8666666666666666
highland_2022_wester_ross_strathpeffer_and_lochalsh,stv,5,0.6858620793615662,0.9685862079361567,0.6335094339622641,0.9633509433962264,0.6858620793615662,0.9214655198403916,0.6335094339622641,0.908377358490566,0.5,0.7,0.0,0.8072916666666667,1.0,0.7333333333333332
highland_2022_wester_ross_strathpeffer_and_lochalsh,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shetland_2012_ward1,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
