election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
angus_2017_ward1,6,0.7566167767218528,1.0,0.9166666666666666,0.9
argyll_bute_2017_ward6,6,0.7563219917413913,1.0,0.9166666666666666,0.9
south_ayrshire_2012_ward1,6,0.8042808681121931,1.0,0.9444444444444443,0.8666666666666667
edinburgh_2012_ward6,6,0.7904587445509843,0.9145683881575566,0.9166666666666666,0.95
edinburgh_2012_ward11,6,0.7937672431573257,0.7937672431573257,0.75,0.9833333333333333
aberdeenshire_2022_ward8,6,0.8565205628451248,0.8783567191958436,0.8333333333333334,0.7166666666666666
fife_2022_ward18,6,0.790545616199761,0.790545616199761,0.9444444444444445,0.95
west_lothian_2012_ward2,6,0.9423315029761927,1.0,0.8888888888888888,0.9
east_dunbartonshire_2017_ward5,6,0.7576473194418729,0.7802981800293449,0.75,0.8833333333333333
clackmannanshire_2012_ward3,6,1.0,1.0,0.9166666666666666,0.9333333333333333
south_lanarkshire_2012_ward13,6,0.7653357987481206,1.0,0.9166666666666666,0.9333333333333333
aberdeenshire_2022_ward11,6,0.7942933586417265,1.0,0.9444444444444443,0.9
perth_kinross_2022_ward7,6,1.0,1.0,0.9166666666666666,0.9
edinburgh_2012_ward9,6,1.0,1.0,1.0,1.0
east_ayrshire_2012_ward7,6,0.7541377319218246,0.7541377319218246,0.8888888888888888,0.8666666666666667
midlothian_2017_ward1,6,0.7928523345559644,0.8748515984209562,0.9166666666666666,0.8333333333333334
inverclyde_2012_ward4,6,0.7382059585919941,1.0,1.0,0.9833333333333333
falkirk_2022_ward1,6,0.8872563126194096,1.0,1.0,0.9666666666666667
south_lanarkshire_2022_ward13,6,0.7744938349615297,0.862340852457818,0.9166666666666666,0.95
perth_kinross_2017_ward4,6,0.9240983872539441,0.9240983872539441,0.9166666666666666,0.9666666666666667
eilean_siar_2022_ward7,6,0.8746562322029139,1.0,1.0,0.9333333333333333
north_lanarkshire_2022_ward18,6,0.8727767588377686,1.0,1.0,0.9333333333333333
west_lothian_2012_ward1,6,0.8407602719753536,0.8407602719753536,0.9166666666666666,0.9666666666666667
north_ayrshire_2022_arran,6,0.8508568796401047,1.0,1.0,0.9
south_lanarkshire_2012_ward9,6,0.7911713325510112,0.8417239401478238,0.75,0.8666666666666667
inverclyde_2017_ward2,6,0.7500946787343717,0.8910617480163874,0.9166666666666666,0.95
north_lanarkshire_2012_ward14,6,0.8281056048733485,1.0,1.0,0.9666666666666667
aberdeenshire_2012_ward7,6,0.8192325047702181,0.8192325047702181,0.9166666666666666,0.95
dumgal_2012_ward6,6,0.7509778738741287,1.0,0.9444444444444443,0.8333333333333334
south_lanarkshire_2012_ward4,6,0.9626271227340476,0.9626271227340476,0.9166666666666666,0.95
east_dunbartonshire_2017_ward2,6,0.8951802738181653,1.0,1.0,0.95
