VoteKit RankProfile
Candidates
(Laura Streib:Laura ),(Michelle DePass:Michel),(Nabil Zaghloul:Nabil ),(Jennifer Park:Jennif),(Will Mespelt:Will M),(Debbie Kitchin:Debbie),(Chris Olson:Chris ),(Jonathan Tasini:Jonath),(Antonio Jamal PettyJohnBlue:Antoni),(Nat West:Nat We),(Reuben Berlin:Reuben),(Marnie Glickman:Marnie),(Sameer Kanal:Sameer),(Tiffani Penson:Tiffan),(Elana Pirtle-Guiney:Elana ),(Sam Sachs:Sam Sa),(Dan Ryan:Dan Ry),(Bob Simril:Bob Si),(Liz Taylor:Liz Ta),(Mariah Hudson:Mariah),(Michael (Mike) Marshall:Michae),(James Armstrong:James )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Jonath'},{'Nat We'},{'Sameer'},{'Marnie'},{'Jennif'},{'Chris '},&,1.0,&
{'Jonath'},{'Elana '},{'Nat We'},,,,&,1.0,&
{'Dan Ry'},{'Nat We'},{'Liz Ta'},{'Jennif'},,,&,1.0,&
{'Michel'},{'Sameer'},{'Nat We'},{'Jonath'},,,&,1.0,&
{'Tiffan'},{'Elana '},{'Sameer'},,,,&,1.0,&
{'Nabil '},,,,,,&,1.0,&
{'Bob Si'},{'Dan Ry'},{'Tiffan'},{'Marnie'},,,&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Elana '},{'Tiffan'},{'Mariah'},{'Sameer'},{'Nat We'},{'Nabil '},&,1.0,&
{'Elana '},{'Debbie'},{'Sameer'},{'Jonath'},{'Michel'},{'Marnie'},&,1.0,&
{'Tiffan'},{'Michel'},{'Sameer'},{'Mariah'},{'Bob Si'},{'Dan Ry'},&,1.0,&
{'Dan Ry'},{'Nabil '},{'Michel'},{'Sam Sa'},{'Bob Si'},{'Nat We'},&,1.0,&
{'Michae'},{'Michel'},{'Dan Ry'},{'Bob Si'},{'Mariah'},,&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Sameer'},{'Nat We'},{'Michel'},{'Tiffan'},,,&,1.0,&
{'Dan Ry'},{'Nabil '},{'Liz Ta'},{'Debbie'},,,&,1.0,&
{'Elana '},{'Dan Ry'},{'James '},{'Tiffan'},{'Jonath'},,&,1.0,&
{'Elana '},{'Tiffan'},{'Nat We'},{'Mariah'},{'James '},{'Dan Ry'},&,1.0,&
{'Tiffan'},{'Dan Ry'},{'Marnie'},{'Michae'},{'Nat We'},{'Mariah'},&,1.0,&
{'Michel'},{'Sameer'},{'Elana '},{'Mariah'},{'Tiffan'},{'Michae'},&,1.0,&
{'Nabil '},{'Bob Si'},{'Dan Ry'},{'Nat We'},,,&,1.0,&
{'Bob Si'},,,,,,&,1.0,&
{'Nat We'},{'Elana '},{'Michel'},{'Dan Ry'},,,&,1.0,&
{'Michae'},{'Dan Ry'},{'Tiffan'},,,,&,1.0,&
{'Michae'},{'Dan Ry'},{'Tiffan'},,,,&,1.0,&
{'Dan Ry'},{'Nabil '},{'Debbie'},,,,&,1.0,&
{'Michae'},{'Bob Si'},{'Tiffan'},{'Dan Ry'},{'Marnie'},{'Nat We'},&,1.0,&
{'Nat We'},{'James '},{'Antoni'},{'Liz Ta'},{'Bob Si'},{'Nabil '},&,1.0,&
{'Michel'},{'Dan Ry'},{'Bob Si'},{'Elana '},{'Debbie'},,&,1.0,&
{'Marnie'},{'Nat We'},{'Jennif'},{'Liz Ta'},{'Laura '},{'Mariah'},&,1.0,&
{'Nat We'},{'Bob Si'},{'Nabil '},{'Dan Ry'},{'Liz Ta'},{'Chris '},&,1.0,&
{'Dan Ry'},{'Bob Si'},{'Marnie'},{'James '},{'Tiffan'},{'Mariah'},&,1.0,&
{'Michae'},{'Jonath'},{'Sameer'},{'Elana '},{'Tiffan'},{'Mariah'},&,1.0,&
{'Dan Ry'},{'Marnie'},{'Tiffan'},,,,&,1.0,&
{'Sameer'},{'Michae'},{'Tiffan'},{'Mariah'},{'Jonath'},{'Dan Ry'},&,1.0,&
{'Bob Si'},{'Dan Ry'},{'Nat We'},{'Elana '},{'Sameer'},{'Liz Ta'},&,1.0,&
{'Tiffan'},{'Nat We'},,,,,&,1.0,&
{'Tiffan'},{'Nat We'},,,,,&,1.0,&
{'Tiffan'},{'Liz Ta'},,,,,&,1.0,&
{'Sameer'},{'Nabil '},{'Jonath'},,,,&,1.0,&
{'Mariah'},{'Nat We'},{'Michel'},{'Elana '},{'Dan Ry'},{'Debbie'},&,1.0,&
{'Reuben'},{'James '},{'Nat We'},{'Will M'},{'Bob Si'},{'Dan Ry'},&,1.0,&
